SCHOOL_CODE,Pass_Percentage,Result
EE0039,100.00%,Reward
EE0040,95.24%,Reward
EE0041,100.00%,Reward
EE0042,0.00%,Attention
EE0043,100.00%,Reward
EE0044,100.00%,Reward
EE0045,100.00%,Reward
EE0046,100.00%,Reward
EE0047,92.31%,Reward
EE0048,100.00%,Reward
EE0049,80.00%,Reward
EE0050,75.00%,Attention
EE0051,100.00%,Reward
EE0052,44.44%,Attention
EE0053,100.00%,Reward
EE0054,100.00%,Reward
EE0055,93.33%,Reward
EE0056,100.00%,Reward
EE0057,50.00%,Attention
EE0058,100.00%,Reward
EE0059,100.00%,Reward
EE0060,75.00%,Attention
EE0061,71.43%,Attention
EE0062,80.00%,Reward
EE0064,60.00%,Attention
EE0065,100.00%,Reward
EE0066,100.00%,Reward
EE0067,66.67%,Attention
EE0068,75.00%,Attention
EE0069,66.67%,Attention
EE0070,0.00%,Attention
EE0072,33.33%,Attention
EE0073,50.00%,Attention
EE0074,100.00%,Reward
EE0075,100.00%,Reward
EE0076,100.00%,Reward
EE0077,100.00%,Reward
EE0078,66.67%,Attention
EE0079,0.00%,Attention
EE0080,100.00%,Reward
EE0081,71.43%,Attention
EE0082,75.00%,Attention
EE0084,60.00%,Attention
EE0085,0.00%,Attention
EE0086,100.00%,Reward
EE0087,100.00%,Reward
EE0088,33.33%,Attention
EE0090,100.00%,Reward
EE0091,50.00%,Attention
EE0093,100.00%,Reward
EE0094,100.00%,Reward
EE0095,25.00%,Attention
EE0096,50.00%,Attention
EE0097,100.00%,Reward
EE0098,75.00%,Attention
EE0099,100.00%,Reward
EE0100,42.86%,Attention
EE0101,100.00%,Reward
EE0102,100.00%,Reward
EE0103,100.00%,Reward
EE0104,100.00%,Reward
EE0105,80.00%,Reward
EE0106,57.14%,Attention
EE0107,50.00%,Attention
EE0108,0.00%,Attention
EE0109,100.00%,Reward
EE0110,80.00%,Reward
EE0111,100.00%,Reward
EE0112,100.00%,Reward
EE0113,84.62%,Reward
EE0114,100.00%,Reward
EE0115,100.00%,Reward
EE0116,66.67%,Attention
EE0117,100.00%,Reward
EE0118,100.00%,Reward
EE0119,0.00%,Attention
EE0120,50.00%,Attention
EE0121,50.00%,Attention
EE0122,100.00%,Reward
EE0123,60.00%,Attention
EE0124,100.00%,Reward
EE0125,75.00%,Attention
EE0126,0.00%,Attention
EE0127,100.00%,Reward
EE0128,87.50%,Reward
EE0129,100.00%,Reward
EE0130,100.00%,Reward
EE0132,0.00%,Attention
EE0134,50.00%,Attention
EE0136,100.00%,Reward
EE0137,25.00%,Attention
EE0138,100.00%,Reward
EE0139,66.67%,Attention
EE0140,87.50%,Reward
EE0141,0.00%,Attention
EE0142,100.00%,Reward
EE0143,100.00%,Reward
